sample,rep_1,rep_2,Pass_coverage,hhsubid
100101002,4383.39491020968,10912.5890044477,Pass,100101
100101003,5986.22439220145,11215.6261244691,Pass,100101
100101004,7909.43213055546,4310.59137879143,Pass,100101
100101005,9621.09122830485,5849.14179179347,Pass,100101
100101006,4032.13433434772,1956.0963782898,Pass,100101
100301001,7913.29866568572,5297.95599103769,Pass,100301
100301002,6566.74617931311,6941.85479717754,Pass,100301
100301003,6122.68672039595,8269.34728956961,Pass,100301
100301004,7404.32515132261,9885.73919004782,Pass,100301
100301005,4023.13941744975,2673.00668829214,Pass,100301
100301006,1570.73681570411,1290.83760826673,Pass,100301
100301009,3231.5465337926,3361.57656422433,Pass,100301
100501002,8491.04394207939,8551.47256128148,Pass,100501
100501003,4865.74949001772,6150.86656857172,Pass,100501
100501004,4425.06888940909,4868.9992308464,Pass,100501
100501005,7961.0371200214,6444.39173327091,Pass,100501
100501006,9636.5440591245,13650.5073069592,Pass,100501
100501007,3850.41724910544,2872.65207504264,Pass,100501
100501008,3393.25388756981,2423.71598167408,Pass,100501
100601001,9883.00494933619,7235.37056482627,Pass,100601
100601002,9289.63639099756,7664.83446476942,Pass,100601
100601003,7909.15580376551,7449.65595425208,Pass,100601
100601004,4161.8362706083,11247.847139083,Pass,100601
100601005,2518.52877637695,9819.03424405578,Pass,100601
100703001,2313.43340133097,2562.90606293683,Pass,100703
100703002,13502.1190181587,3612.83272581346,Pass,100703
100703008,2240.95134267465,1105.36574925593,Pass,100703
100703009,9755.50386248871,6946.5485737217,Pass,100703
100703010,3088.87750392937,3204.15667324349,Pass,100703
100801001,7820.19543189647,8833.24602882654,Pass,100801
100801002,8643.44072501087,7705.36069959536,Pass,100801
100801003,7185.53927699562,10012.5350299301,Pass,100801
100801004,8957.09838477745,13907.7447078888,Pass,100801
100801005,4229.35033274253,6392.10791559375,Pass,100801
100801006,6934.65799418119,7419.29318128616,Pass,100801
100801007,4405.68391131325,4502.870581547,Pass,100801
